APW19980418.0210	e2	e11	s	EC, SS
APW19980418.0210	e2	e17	b	FE, CP, SS
APW19980418.0210	e2	e21	b	FE, WK
APW19980418.0210	e8	e12	a	WK
APW19980418.0210	e8	e14	a	WK
APW19980418.0210	e8	e2000	a	WK
APW19980418.0210	e8	e15	a	WK
APW19980418.0210	e8	e16	b	EC, CR
APW19980418.0210	e8	e22	a	CR, CP
APW19980418.0210	e8	e23	a	CR, CP
APW19980418.0210	e8	e24	a	CR, CP
APW19980418.0210	e8	e25	a	CR, CP, TI
APW19980418.0210	e8	e26	a	CR, CP
APW19980418.0210	e8	e27	a	CR, CP
APW19980418.0210	e11	e17	b	FE, CP, SS
APW19980418.0210	e11	e21	b	FE, WK
APW19980418.0210	e15	e22	b	WK, SS
APW19980418.0210	e15	e23	b	WK, SS
APW19980418.0210	e15	e24	b	WK, CR, CP
APW19980418.0210	e15	e25	b	WK, CR, CP, TI
APW19980418.0210	e15	e26	b	WK, CR, CP
APW19980418.0210	e15	e27	b	WK, CR, CP
APW19980418.0210	e16	e24	a	EC, CR
APW19980418.0210	e16	e25	a	EC, CR, TI
APW19980418.0210	e16	e26	a	EC, CR
APW19980418.0210	e16	e27	a	EC, CR
CNN19980126.1600.1104	e1	e206	ii	HN, SS, TI
CNN19980126.1600.1104	e1	e46	ii	CR, CP
CNN19980126.1600.1104	e1	e24	ii	CR
CNN19980126.1600.1104	e1	e27	s	FE, EC, SS
CNN19980126.1600.1104	e1	e52	s	EC, SS
CNN19980126.1600.1104	e3	e206	ii	HN, SS, TI
CNN19980126.1600.1104	e3	e46	ii	CR, CP
CNN19980126.1600.1104	e3	e24	ii	CR
CNN19980126.1600.1104	e3	e27	s	FE, EC, SS
CNN19980126.1600.1104	e3	e52	s	EC, SS
CNN19980126.1600.1104	e39	e206	ii	HN, SS, TI
CNN19980126.1600.1104	e39	e46	ii	CR, CP
CNN19980126.1600.1104	e39	e24	ii	CR
CNN19980126.1600.1104	e39	e27	s	FE, EC, SS
CNN19980126.1600.1104	e39	e52	s	EC, SS
CNN19980126.1600.1104	e4	e9	i	FE, SS, TI
CNN19980126.1600.1104	e4	e206	ii	FE, HN, SS, TI
CNN19980126.1600.1104	e4	e46	i	FE, CP, SS
CNN19980126.1600.1104	e4	e22	ii	FE, SS, TI
CNN19980126.1600.1104	e4	e24	ii	FE, SS, TI
CNN19980126.1600.1104	e4	e27	i	FE, CP, SS
CNN19980126.1600.1104	e4	e52	i	FE, CP, SS
CNN19980126.1600.1104	e7	e206	ii	HN, WK
CNN19980126.1600.1104	e7	e46	b	CP, CR
CNN19980126.1600.1104	e7	e22	b	CP, CR
CNN19980126.1600.1104	e7	e24	b	CP, CR
CNN19980126.1600.1104	e42	e206	ii	HN, WK
CNN19980126.1600.1104	e42	e46	b	CP, CR
CNN19980126.1600.1104	e42	e22	b	CP, CR
CNN19980126.1600.1104	e42	e24	b	CP, CR
CNN19980126.1600.1104	e9	e46	ii	CP, CR
CNN19980126.1600.1104	e9	e22	ii	CR, CP
CNN19980126.1600.1104	e9	e24	ii	CR, CP
CNN19980126.1600.1104	e206	e22	i	HN, WK
CNN19980126.1600.1104	e206	e24	i	HN, WK
CNN19980126.1600.1104	e206	e27	i	HN, WK
CNN19980126.1600.1104	e206	e52	i	HN, WK
CNN19980126.1600.1104	e46	e22	i	CR, CP
CNN19980126.1600.1104	e46	e24	i	FE, CR, CP
CNN19980126.1600.1104	e46	e27	i	FE, CR, CP
CNN19980126.1600.1104	e46	e52	i	FE, CR, CP
CNN19980126.1600.1104	e24	e52	i	CP, SS
CNN19980126.1600.1104	e27	e52	s	FE, EC, SS
APW19980308.0201	e75	e50	s	EC, SS
APW19980308.0201	e75	e23	i	CP
APW19980308.0201	e75	e25	b	CP, FE
APW19980308.0201	e75	e27	b	CP, FE
APW19980308.0201	e75	e29	i	CP, SS
APW19980308.0201	e75	e30	i	CP, SS
APW19980308.0201	e75	e31	i	CP, SS
APW19980308.0201	e75	e34	i	CP, CR
APW19980308.0201	e75	e72	b	CP, CR, FE
APW19980308.0201	e75	e38	b	CP, CR, FE
APW19980308.0201	e75	e40	b	CP, CR, FE
APW19980308.0201	e75	e41	b	CP, CR, HN
APW19980308.0201	e50	e23	i	CP, EC, CR
APW19980308.0201	e50	e25	b	CP, FE
APW19980308.0201	e50	e27	b	CP, FE
APW19980308.0201	e50	e29	i	CP, EC, CR
APW19980308.0201	e50	e30	i	CP, EC, CR
APW19980308.0201	e50	e31	i	CP, EC, CR
APW19980308.0201	e50	e34	i	CP, CR
APW19980308.0201	e50	e72	b	CP, CR, FE
APW19980308.0201	e50	e38	b	CP, CR, FE
APW19980308.0201	e50	e40	b	CP, CR, FE
APW19980308.0201	e50	e41	b	CP, CR, HN
APW19980308.0201	e23	e34	i	CP, CR, TI
APW19980308.0201	e23	e72	b	CP, CR, FE
APW19980308.0201	e23	e38	b	CP, CR, FE
APW19980308.0201	e23	e40	b	CP, CR, FE
APW19980308.0201	e23	e41	b	CP, CR, HN
APW19980308.0201	e25	e34	ii	FE, CP, CR, TI
APW19980308.0201	e25	e72	b	FE, CP, CR
APW19980308.0201	e25	e38	b	FE, CP, CR
APW19980308.0201	e25	e40	b	FE, CP, CR
APW19980308.0201	e25	e41	b	HN, CP, CR
APW19980308.0201	e27	e34	ii	FE, CP, CR, TI
APW19980308.0201	e27	e72	b	FE, CP, CR
APW19980308.0201	e27	e38	b	FE, CP, CR
APW19980308.0201	e27	e40	b	FE, CP, CR
APW19980308.0201	e27	e41	b	HN, CP, CR
